"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"09.12.2022","1.796,63","1.789,30","1.806,45","1.787,96","","0,41%"
"08.12.2022","1.789,23","1.786,29","1.795,18","1.780,96","","0,17%"
"07.12.2022","1.786,22","1.771,14","1.790,92","1.768,32","","0,86%"
"06.12.2022","1.770,91","1.768,67","1.781,46","1.765,72","","0,14%"
"05.12.2022","1.768,39","1.797,92","1.810,33","1.765,32","","-1,64%"
"02.12.2022","1.797,82","1.803,15","1.804,93","1.778,26","","-0,28%"
"01.12.2022","1.802,89","1.768,54","1.804,32","1.767,36","","1,95%"
"30.11.2022","1.768,45","1.749,82","1.770,39","1.744,41","","1,07%"
"29.11.2022","1.749,73","1.740,82","1.759,33","1.738,98","","0,52%"
"28.11.2022","1.740,75","1.755,00","1.764,08","1.739,14","","-0,88%"
"25.11.2022","1.756,14","1.756,48","1.761,58","1.745,46","","0,07%"
"24.11.2022","1.754,96","1.749,53","1.759,08","1.749,03","","0,32%"
"23.11.2022","1.749,28","1.740,30","1.753,54","1.728,25","","0,52%"
"22.11.2022","1.740,24","1.738,48","1.749,98","1.736,61","","0,14%"
"21.11.2022","1.737,81","1.750,82","1.753,52","1.732,03","","-0,68%"
"18.11.2022","1.749,74","1.760,74","1.767,98","1.747,04","","-0,63%"
"17.11.2022","1.760,87","1.773,82","1.775,20","1.754,13","","-0,73%"
"16.11.2022","1.773,77","1.778,34","1.785,49","1.769,82","","-0,25%"
"15.11.2022","1.778,25","1.771,88","1.786,68","1.766,56","","0,36%"
"14.11.2022","1.771,80","1.771,42","1.775,36","1.752,90","","0,06%"
"11.11.2022","1.770,69","1.754,92","1.773,17","1.746,85","","0,90%"
"10.11.2022","1.754,86","1.706,42","1.757,52","1.703,32","","2,84%"
"09.11.2022","1.706,32","1.712,60","1.722,94","1.701,79","","-0,36%"
"08.11.2022","1.712,52","1.674,75","1.717,31","1.664,32","","2,26%"
"07.11.2022","1.674,68","1.681,30","1.682,08","1.666,44","","-0,33%"
"04.11.2022","1.680,27","1.629,40","1.682,17","1.628,23","","3,14%"
"03.11.2022","1.629,15","1.635,80","1.641,32","1.616,18","","-0,35%"
"02.11.2022","1.634,89","1.647,77","1.669,60","1.634,40","","-0,77%"
"01.11.2022","1.647,50","1.633,40","1.657,13","1.630,93","","0,88%"
"31.10.2022","1.633,12","1.643,69","1.645,80","1.631,77","","-0,53%"
"28.10.2022","1.641,76","1.663,30","1.667,44","1.637,39","","-1,27%"
"27.10.2022","1.662,94","1.664,50","1.671,09","1.654,81","","-0,09%"
"26.10.2022","1.664,49","1.653,21","1.675,12","1.649,15","","0,72%"
"25.10.2022","1.652,52","1.649,70","1.662,89","1.637,82","","0,24%"
"24.10.2022","1.648,60","1.658,19","1.670,55","1.643,64","","-0,49%"
"21.10.2022","1.656,66","1.628,10","1.659,08","1.617,21","","1,78%"
"20.10.2022","1.627,66","1.629,93","1.645,83","1.621,93","","-0,05%"
"19.10.2022","1.628,49","1.651,99","1.654,90","1.627,25","","-1,41%"
"18.10.2022","1.651,83","1.650,49","1.661,27","1.645,61","","0,11%"
"17.10.2022","1.649,94","1.644,09","1.668,69","1.643,69","","0,50%"
"14.10.2022","1.641,76","1.665,90","1.672,02","1.639,90","","-1,44%"
"13.10.2022","1.665,80","1.673,30","1.682,84","1.642,25","","-0,40%"
"12.10.2022","1.672,51","1.666,49","1.678,90","1.660,95","","0,43%"
"11.10.2022","1.665,31","1.668,40","1.684,44","1.660,45","","-0,16%"
"10.10.2022","1.667,96","1.696,80","1.700,33","1.665,30","","-1,57%"
"07.10.2022","1.694,52","1.711,10","1.715,40","1.690,35","","-0,95%"
"06.10.2022","1.710,85","1.716,06","1.726,09","1.706,53","","-0,29%"
"05.10.2022","1.715,81","1.726,42","1.728,10","1.700,15","","-0,60%"
